Participant,age
M01EB,9.966666667
M02SM,10
M03CW,21.9
M04LM,8.8
M05ES,8.933333333
M06HL,9.6
M07CR,8.233333333
M08SA,8.766666667
M09AM,10.26666667
M10HK,8.3
M11BLP,9.533333333
M12RO,8.833333333
M13CY,9.2
M14VL,9.266666667
M15OW,10.23333333
M16SL,8.433333333
M17EW,9.366666667
M18GB,9.6
M19LB,9.233333333
M20NS,19.9
M21SB,9.4
M22AS,9.033333333
M23AK,11.66666667
M24JB,14.2
M25AJ,13.43333333
M26JJ,13.43333333
M27ZD,8.233333333
M28PR,15.3
M30PM,19.56666667
M31RK,13.73333333
M32EB,11.76666667
M34ZM,14.36666667
M35GB,19.13333333
M35KR,9
M36EW,10.46666667
M37JD,8.366666667
M38GC,12.36666667
M39PC,12.36666667
M40CW,9.166666667
M41GG,13.63333333
M42RM,13
M43EW,24.1
M44GW,20.93333333
M45DA,11.53333333
M46CC,15.06666667
M47JJ,11.96666667
M48DZ,20.9
B01AM,9.366666667
B02JP,9.966666667
B03BS,9.033333333
B04DR,8.2
B05ET,8.566666667
B06JR,8.933333333
B07BP,10.93333333
B10KG,13.76666667
B11ARF,12.5
B16LR,13
B14I,18.86666667
B15NC,12.4
B17YT,19.3
B19CB ,9.5
B20AP,18.63333333
B21HM,9.566666667
B22JR,16.86666667
B08RJ,18.1
B09AW,18.33333333
B12KRM,15.16666667
B18LS,15.5
B23RF,23
B24EBR,15.16666667
B25ELM,17.83333333
B26GB,14.26666667
B27KDS,12.66666667
B28APF,22.1
B29NRP,12.03333333
B30MR,26.6
B31ZR,17.23333333
B32NF,12.56666667
B33KLH,10.83333333
B34ES,10.76666667
B35VC,13.3
B36GBG,10.4
M01EB_V2,18.63333333
M02SM_V2,17.53333333
M04LM_V2,17.7
M06HL_V2,18
M07CR_V2,18.4
M08SA_V2,18.93333333
M12RO_V2,18.5
M13CY_V2,19.3
M15OW_V2,19
M17EW_V2,18
M20NS_V2,19.9
M24JB_V2,18.63333333
M21SB_V2,19.5
M23AK_V2,19.56666667
M28PR_V2,19.63333333
M22AS_V2,17.93333333
M27ZD_V2,17.7
M31RK_V2,23.76666667
M36EW_V2,18.76666667
B05ET_V2,17.33333333
B11ARF_V2,17.8
B12KRM_V2,26.66666667
B16LR_V2,20.4
